,country,incomeperperson,alcconsumption,armedforcesrate,breastcancerper100th,co2emissions,femaleemployrate,hivrate,internetuserate,lifeexpectancy,oilperperson,polityscore,relectricperperson,suicideper100th,employrate,urbanrate,chthrate
45,Cote d'Ivoire,591.067944337,6.47,.2339148,26.0,228748666.667,38.0999984741211,3.4,2.59997365487891,55.377,0,5.0,70.387444443114,20.3179302216,59.9000015259,48.78,29.4
46,Croatia,6338.49466772,15.0,1.1032787,62.1,310024000.0,39.4000015258789,0.06,60.1197070167497,76.64,0,9.5,1494.41026836435,14.77625,47.0999984741,57.28,62.16
47,Cuba,4495.04626153,5.12,1.4953835,31.2,1286670000.0,43.7000007629394,0.1,15.8999703410908,79.143,0,1.5,528.787349748965,10.57191,56.0,75.66,31.3
48,Cyprus,15313.8593472,8.84,2.4549129,67.2,183535000.0,51.2999992370606,0.0,53.0247448294886,79.591,0,10.0,2123.76286266534,2.206169,59.0999984741,69.9,67.2
49,Czech Rep.,7381.31275081,16.47,.5157058,58.4,1776016000.0,47.5999984741211,0.06,68.6381334713247,77.685,.876778335188545,9.0,1438.78041203959,12.36798,56.0,73.5,58.46
50,Denmark,30532.2770437,12.02,1.012373,88.7,3503877666.67,58.0999984741211,0.2,88.7702538741662,78.826,1.56752746145954,10.0,1884.2993420087,8.973104,63.0999984741,86.68,88.9
51,Djibouti,895.318339643,1.87,3.4515458,19.5,14054333.3333,0,2.5,6.4979235095613,57.937,0,6.0,0,4.993475914,0.0,87.3,22.0
52,Dominica,6147.77960984,8.68,0,0.0,2401666.66667,0,0.0,47.2804360294118,0.0,0,5.0,0,5.83525085449,0.0,73.92,0.0
53,Dominican Rep.,4049.16962913,6.28,1.469369,36.1,446365333.333,40.5,0.9,39.5312742621134,73.396,0,9.0,457.644842265195,6.51953697205,52.7000007629,69.02,37.0
54,Ecuador,1728.02097614,9.43,1.0179463,23.5,692039333.333,45.5,0.4,28.9994767369513,75.632,.732816540969042,7.5,314.826199681928,8.50468444824,59.7000007629,65.58,23.9
55,Egypt,1975.55190594,0.32,3.2908071,24.2,3341129000.0,18.2000007629395,0.06,26.7400253815905,73.235,.447479266085188,3.5,536.760450729528,1.79990363121,42.4000015259,42.72,24.26
56,El Salvador,2557.43363776,3.99,1.321155,13.6,143586666.667,44.7999992370606,0.8,15.8999820280962,72.196,0,9.0,256.099151340679,7.304886,58.2000007629,60.7,14.4
57,Equatorial Guinea,8654.53684494,6.12,.3976544,16.5,26125000.0,39.5999984741211,5.0,6.00343714285714,51.088,0,2.5,0,10.1293497086,61.7000007629,39.38,21.5
58,Eritrea,131.79620701,1.64,9.8201265,19.5,7315000.0,51.7000007629394,0.8,5.39966699657404,61.597,0,1.5,20.288131093423,8.91336250305,64.9000015259,20.72,20.3
59,Estonia,6238.53750622,17.24,.9984276,47.7,277170666.667,52.0999984741211,1.2,74.1630402985074,74.825,0,9.5,1411.23053215612,16.95924,56.5,69.46,48.9
60,Ethiopia,220.891247922,4.1,.3617085,24.7,119958666.667,73,0.0,.749995849909584,59.274,0,5.5,15.0562359104808,10.0719423294,80.6999969482,17,24.7
61,Faeroe Islands,0.0,0.0,0,0.0,21351000.0,0,0.0,75.2,0.0,0,5.0,0,0.0,0.0,41.42,0.0
62,Fiji,2230.67637411,2.76,1.1772684,31.2,35717000.0,36.7999992370606,0.1,14.8307358837209,69.245,0,3.0,0,3.9402589798,56.4000015259,52.36,31.3
63,Finland,27110.7315908,13.1,1.1774157,84.7,2420300666.67,53.4000015258789,0.1,86.89884450783,79.977,1.93865426822699,10.0,4036.95399341322,16.23437,57.2000007629,63.3,84.8
64,France,22878.4665673,12.48,1.2337802,91.9,33341634333.3,45.5999984741211,0.4,77.4986193497188,81.539,1.32829141095398,9.5,2539.75327273322,14.09153,51.2000007629,77.36,92.3
65,French Polynesia,0.0,0.0,0,34.2,19800000.0,0,0.0,48.9573284132841,75.133,0,5.0,0,0.0,0.0,51.64,34.2
66,Gabon,4180.76582068,9.46,1.0189063,18.2,170804333.333,52.5999984741211,5.2,7.23222424584718,62.703,0,6.5,537.104738136131,7.74506473541,59.0,85.04,23.4
67,Gambia,354.599726291,3.58,.1345905,6.4,7355333.33333,65.6999969482422,2.0,9.19677547715442,58.491,0,2.5,0,6.44915676117,71.6999969482,56.42,8.4
68,Georgia,1258.76259631,6.66,1.4507353,51.8,81191000.0,48.5,0.1,26.2972514824798,73.737,0,8.0,617.925551751831,1.57435011864,55.5999984741,52.74,51.9
69,Germany,25306.1871927,12.14,.5758096,79.8,41229554666.7,46.7999992370606,0.1,82.526897905279,80.414,1.39850003277545,10.0,1693.89189801066,9.211085,53.5,73.64,79.9
70,Ghana,358.979539801,3.11,.1314868,28.1,188268666.667,64.0999984741211,1.8,9.54993070063956,64.228,0,9.0,97.2464921181312,6.28855466843,65.0999984741,50.02,29.9
71,Gibraltar,0.0,0.0,0,0.0,7388333.33333,0,0.0,65,0.0,0,5.0,0,0.0,0.0,0,0.0
72,Greece,13577.8798851,11.01,3.0932506,51.6,2712915333.33,37.7999992370606,0.1,44.5700744432662,79.915,1.62861488680774,10.0,1690.71843441126,2.816705,49.5999984741,61,51.7
73,Greenland,20751.8934244,0.0,0,0.0,23635333.3333,0,0.0,63.8491527222556,0.0,0,5.0,0,0.0,0.0,83.52,0.0
74,Grenada,5330.40161204,10.71,0,0.0,4774000.0,0,0.0,33.6166828846154,75.956,0,5.0,0,3.57647824287,0.0,30.84,0.0
75,Guadeloupe,0.0,0.0,0,0.0,45778333.3333,38.2999992370606,0.0,0,79.839,0,5.0,0,0.0,43.0999984741,0,0.0
76,Guam,0.0,0.0,0,50.4,0.0,0,0.0,0,76.142,0,5.0,0,0.0,0.0,93.16,50.4
77,Guatemala,1860.75389497,7.1,.6608385,25.9,242594000.0,44,0.8,10.4999481895893,71.172,0,9.0,187.32488217269,2.234896,62.7000007629,48.58,26.7
78,Guinea,411.501447251,0.79,.4026995,15.3,46684000.0,77.5999984741211,1.3,.99995892606692,54.097,0,4.5,0,7.44382619858,81.5,34.44,16.6
79,Guinea-Bissau,161.317137105,3.9,.9301079,28.1,7813666.66667,49.9000015258789,2.5,2.45036224422442,48.132,0,8.0,0,7.5636920929,65.9000015259,29.84,30.6
80,Guyana,1200.65207494,8.7,.8776657,29.5,69329333.3333,41.7999992370606,1.2,29.8799214569536,69.927,0,8.0,0,35.752872467,58.9000015259,28.38,30.7
81,Haiti,371.424197524,5.92,0,4.4,40857666.6667,35.4000015258789,1.9,8.37020688381867,62.095,0,7.5,9.19239470829337,1.51924800873,55.9000015259,46.84,6.3
82,Honduras,1392.41182852,4.43,.7108232,25.9,131703000.0,34.2000007629394,0.8,11.0907646263158,73.126,0,8.5,278.739635049004,7.06018447876,56.2999992371,47.88,26.7
83,"Hong Kong, China",35536.0724709,0.0,0,0.0,1026813333.33,51.5999984741211,0.0,71.8491239388795,82.759,2.28265540594474,5.0,1468.64078433473,0.0,59.0,100,0.0
84,Hungary,5634.00394802,16.12,.8668624,63.0,4244009000.0,40.2999992370606,0.06,65.163250915,74.414,.671097580092241,10.0,1154.17993206064,20.16201,47.2999992371,67.5,63.06
85,Iceland,33945.3144216,7.38,.0661,90.0,92770333.3333,69.5999984741211,0.3,95.6381132075472,81.804,0,5.0,2826.04487345869,11.4261808395,73.5999984741,92.26,90.3
86,India,786.700098149,2.69,.5739204,19.1,30391317000.0,32.2999992370606,0.3,7.49999587829644,65.438,.12697875236038,9.5,110.705466369068,18.5838260651,55.4000015259,29.54,19.4
87,Indonesia,1143.83151352,0.56,.5159403,26.1,6710201666.67,44.0999984741211,0.2,9.90003867219744,69.366,.248466950577122,9.0,221.961461434371,11.3961114883,61.5,51.46,26.3
88,Iran,2161.54650967,1.03,2.0263996,17.1,9183548000.0,26.8999996185303,0.2,13.0001107160721,72.974,1.1625764478504,1.5,753.209802163397,6.02188205719,47.7999992371,68.46,17.3
89,Iraq,736.268053799,0.47,7.7379125,31.7,2421917666.67,12.3999996185303,0.0,2.47194834691393,69.042,0,5.0,0,17.0326461792,37.4000015259,66.6,31.7
90,Ireland,27595.0913473,14.92,.4500244,74.9,1633778666.67,51,0.2,69.7703944134078,80.557,1.70026175082217,10.0,2051.80233770977,10.36507,59.9000015259,61.34,75.1
91,Israel,22275.7516608,2.52,5.8731426,90.8,1561079666.67,46.4000015258789,0.2,65.3877859391396,81.618,0,10.0,2342.43524810592,5.931845,51.2999992371,91.66,91.0
92,Italy,18982.2692851,9.72,1.7293464,74.4,19000454000.0,35.7999992370606,0.3,53.740216600367,81.855,1.20724981423877,10.0,1176.38545705165,4.9300445089,46.4000015259,68.08,74.7
93,Jamaica,3665.34836858,5.17,.2437395,43.5,340090666.667,47.5,1.7,26.4772232420429,73.127,0,9.5,368.434606060087,4.41750717163,58.2000007629,53.3,45.2
94,Japan,39309.4788585,7.79,.3618584,32.7,46092214666.7,46.2000007629394,0.06,77.6385351546869,83.394,1.593223489425,10.0,2257.57223317911,18.94693,57.2999992371,66.48,32.76
95,Jordan,2534.00037997,0.65,5.9096991,33.0,377303666.667,13,0.0,38.8812015875641,73.403,0,3.5,719.47653023379,0.201448723674,38.9000015259,78.42,33.0
96,Kazakhstan,2481.71891791,11.1,.9562696,38.7,2484925666.67,58.2000007629394,0.1,33.3821281627152,67.017,.779964666976614,2.0,484.098987955634,25.4046,63.7000007629,57.94,38.8
97,Kenya,468.696043558,3.88,.1595738,25.2,283583666.667,66.5999984741211,6.3,25.8997967022931,57.134,0,8.5,41.1800032056586,10.9377183914,73.1999969482,21.6,31.5
98,Kiribati,760.262365037,2.7,0,0.0,1111000.0,0,0.0,8.95914,0.0,0,5.0,0,0.0,0.0,43.84,0.0
99,"Korea, Dem. Rep.",0.0,0.0,10.6385211,20.4,5896388666.67,56,0.0,0,68.846,0,0.5,0,4.73567342758,64.5999984741,62.68,20.4
100,"Korea, Rep.",16372.4997809,19.15,2.8339665,20.4,9666891666.67,48,0.06,82.5159279959079,80.642,2.08784801064196,9.0,1142.30900859597,22.40456,58.9000015259,81.46,20.46
101,Kuwait,0.0,0.1,1.6095482,31.8,1712755000.0,42,0.0,38.2602335526316,74.576,6.46756788753886,1.5,8362.56797695933,1.49805742428,65.6999969482,98.36,31.8
102,Kyrgyzstan,372.728414,4.72,.8377678,23.0,87970666.6667,48.7999992370606,0.3,19.5823164464024,67.714,0,5.5,428.31230705847,9.875281,58.9000015259,36.28,23.3
103,Laos,554.879840071,6.99,4.3015761,10.9,21332666.6667,78.0999984741211,0.2,6.99988034188034,67.484,0,1.5,0,26.2191982269,78.1999969482,30.88,11.1
104,Latvia,5011.21945634,13.45,1.3164321,44.3,125755666.667,50.7000007629394,0.7,71.5147235372934,73.339,0,9.0,904.669445356176,20.36959,56.7999992371,68.12,45.0
105,Lebanon,6746.61263179,2.3,5.4065355,52.5,428006333.333,22.2999992370605,0.1,31.0043782824698,72.64,0,8.5,913.845660215951,5.83831501007,46.0,86.96,52.6
106,Lesotho,495.734246944,5.56,.2176526,13.1,0.0,49.7999992370606,23.6,3.8605653984339,48.196,0,9.0,0,7.8586192131,56.2999992371,25.46,36.7
107,Liberia,155.03323123,5.07,.1299529,18.8,38991333.3333,53.2000007629394,1.5,7.0002138207311,56.786,0,8.0,0,7.1848526001,66.0,60.14,20.3
108,Libya,7885.4680369,0.1,3.3116742,23.4,1414031666.67,23.2000007629395,0.0,14.0002467348544,74.788,0,1.5,846.014922624299,4.66702461243,48.5999984741,77.54,23.4
109,Liechtenstein,81647.1000306,0.0,0,0.0,0.0,0,0.0,80,0.0,0,5.0,0,0.0,0.0,14.32,0.0
110,Lithuania,5332.23859142,16.3,1.4878309,38.5,226255333.333,48.7999992370606,0.1,62.8119000060846,72.231,.812369437939638,10.0,758.858719204085,33.34186,53.0999984741,66.96,38.6
111,Luxembourg,52301.587179,12.84,.7313362,82.5,592012666.667,45.9000015258789,0.3,90.0795266272189,79.963,0,5.0,1566.10613860734,12.4059181213,53.5,82.44,82.8
112,"Macao, China",33923.3138683,0.0,0,0.0,38397333.3333,57.5,0.0,56.7640823529412,80.934,0,5.0,0,0.0,63.5999984741,100,0.0
113,"Macedonia, FYR",2221.18566404,8.94,2.101467,52.1,168883000.0,26.7999992370605,0.0,51.9141843203883,74.847,0,9.5,0,7.87687826157,34.9000015259,66.9,52.1
114,Madagascar,242.67753416,1.32,.2351846,19.5,62777000.0,79.1999969482422,0.2,1.69998514531235,66.718,0,5.0,0,5.76740646362,83.0,29.52,19.7
115,Malawi,184.141796592,1.44,.1145925,10.5,28490000.0,69,11.0,2.25997588483994,54.21,0,8.0,0,10.1717348099,71.8000030518,18.8,21.5
116,Malaysia,5184.70932756,0.87,1.1421267,30.8,2670950333.33,43.0999984741211,0.5,56.3000336995176,74.221,.890813170528365,8.0,767.970323793555,8.21106719971,60.5,70.36,31.3
117,Maldives,4038.85781795,0.0,0,0.0,8231666.66667,42.0999984741211,0.06,28.2897009493671,76.848,0,5.0,0,22.3534793854,56.9000015259,37.86,0.06
118,Mali,269.89288112,0.99,.3269778,18.2,17515666.6667,34.4000015258789,1.0,2.69996644762524,51.444,0,8.5,0,8.26289272308,45.7000007629,32.18,19.2
119,Malta,11066.7841447,4.1,1.1443188,76.1,73784333.3333,30.1000003814697,0.1,63.0779927884615,79.634,0,5.0,1598.67395894254,4.55112123489,46.7999992371,94.26,76.2
120,Marshall Islands,2437.28244539,0.0,0,0.0,1206333.33333,0,0.0,0,0.0,0,5.0,0,7.20238351822,0.0,71.08,0.0
121,Martinique,0.0,0.0,0,0.0,56162333.3333,38.2000007629394,0.0,0,80.499,0,5.0,0,0.0,42.5,0,0.0
122,Mauritania,609.131205922,0.11,1.5512617,28.1,56818666.6667,45.2999992370606,0.7,2.99980317919075,58.582,0,4.0,0,6.88295221329,46.9000015259,41,28.8
123,Mauritius,5182.14372064,3.53,.3495439,31.6,59473333.3333,36.2999992370606,1.0,28.7318834972678,73.373,0,10.0,0,8.08154,54.5,42.48,32.6
124,Mexico,6105.28074296,8.55,.6123401,26.4,13304503666.7,39.5999984741211,0.3,31.050012866438,76.954,.770566503742106,9.0,431.625378835419,4.288574,57.9000015259,77.2,26.7
125,"Micronesia, Fed. Sts.",2146.35859307,5.25,0,0.0,0.0,0,0.0,20.0115315315315,68.978,0,5.0,0,4.76226997375,0.0,22.54,0.0
126,Moldova,595.874534522,23.01,.5415062,49.6,149904333.333,43.5999984741211,0.4,40.122234699607,69.317,0,9.0,304.940114846777,15.53849,44.2999992371,41.76,50.0
127,Monaco,105147.437697,0.0,0,0.0,0.0,0,0.0,0,0.0,0,5.0,0,11.1510725021,0.0,100,0.0
128,Mongolia,772.933344801,3.41,1.2118685,6.6,300934333.333,50.9000015258789,0.06,12.9000046806967,68.498,0,10.0,303.805448658063,13.0896158218,52.0999984741,57.18,6.66
129,Montenegro,2222.33505218,0.0,0,0.0,0.0,0,0.0,51.9580379746836,74.573,0,9.5,0,0.0,0.0,60.18,0.0
130,Morocco,1844.35102762,1.24,2.0858528,22.5,953051000.0,22.2000007629395,0.1,49.0006318425088,72.15,0,2.0,209.094517288377,2.10941362381,46.2000007629,56.02,22.6
131,Mozambique,389.763634253,2.27,.1022692,3.9,107096000.0,82.1999969482422,11.5,4.17013638520735,50.239,0,7.5,31.3868376997569,10.5503749847,77.0,36.84,15.4
132,Myanmar,0.0,0.58,1.9129653,20.2,322960000.0,66.5,0.6,0,65.193,0,2.0,38.0056373678139,10.1149969101,74.6999969482,32.58,20.8
133,Namibia,2667.24670973,12.09,1.9729132,24.7,26209333.3333,37.2999992370606,13.1,6.50082282084976,62.465,0,8.0,0,8.02196979523,42.0,36.84,37.8
134,Nauru,0.0,4.81,0,0.0,4814333.33333,0,0.0,0,0.0,0,5.0,0,4.07952547073,0.0,0,0.0
135,Nepal,268.259449511,2.42,1.0127322,21.8,52657000.0,54.5999984741211,0.4,7.93009634901031,68.795,0,8.0,31.5445639730244,11.6552095413,61.7999992371,17.24,22.2
136,Netherlands,26551.8442382,9.75,.5261262,86.7,9483023000.0,54.2999992370606,0.2,90.7035550890708,80.734,2.9976546061431,10.0,1490.05690911309,8.164005,61.2999992371,81.82,86.9
137,Netherlands Antilles,0.0,0.0,0,0.0,102538333.333,47.0999984741211,0.0,0,76.652,0,5.0,0,0.0,53.5,92.68,0.0
138,New Caledonia,0.0,0.0,0,0.0,90269666.6667,0,0.0,0,76.521,0,5.0,0,0.0,0.0,64.78,0.0
139,New Zealand,14778.1639288,9.99,.3891575,91.9,1321661000.0,58.2999992370606,0.1,83.0025842490842,80.654,1.57962114732691,10.0,2993.09265964922,12.17976,65.0,86.56,92.0
140,Nicaragua,948.355952021,5.21,.5265916,23.9,109681000.0,36,0.2,9.99855415443082,74.044,0,9.5,126.826577789864,12.1222686768,58.7999992371,56.74,24.1
141,Niger,180.083376,0.34,.2177167,23.3,30800000.0,38,0.8,.82999748517277,54.675,0,3.5,0,9.25797557831,60.4000015259,16.54,24.1
142,Nigeria,544.599476658,12.72,.3331953,31.2,2386820333.33,36.5,3.6,28.4300326610404,51.879,0,7.0,74.0642409015004,7.63104963303,50.9000015259,48.36,34.8
143,Niue,0.0,8.69,0,0.0,132000.0,0,0.0,0,0.0,0,5.0,0,4.21707630157,0.0,0,0.0
144,Norway,39972.3527685,8.35,.7205279,74.8,1962704333.33,60.9000015258789,0.1,93.2775079341379,81.097,2.19122604421648,10.0,7432.13085189506,10.823,65.0,77.48,74.9
145,Oman,11191.8110074,0.92,4.4659976,13.2,487993000.0,22.6000003814697,0.1,61.987412863816,72.974,0,1.0,2124.60881599304,3.71673941612,50.7000007629,71.62,13.3
146,Pakistan,668.54794304,0.05,1.6494507,50.1,2329308666.67,19,0.1,16.7800370218845,65.437,.118092059523329,7.5,186.925515019777,12.8698148727,51.0,36.16,50.2
147,Palau,6243.57131826,9.86,0,0.0,1723333.33333,0,0.0,0,0.0,0,5.0,0,5.55427646637,0.0,80.46,0.0
148,Panama,5900.61694445,7.3,.7502103,29.0,170404666.667,43.4000015258789,0.9,42.7478120557293,76.128,0,9.5,500.288505487757,6.10528189983,59.7999992371,73.2,29.9
149,Papua New Guinea,744.239413193,3.64,.1051147,17.3,88337333.3333,68.9000015258789,0.9,1.28004964712744,62.791,0,7.0,0,11.9569406509,70.4000015259,12.54,18.2
150,Paraguay,1621.17707762,7.91,.885386,34.4,95256333.3333,65.3000030517578,0.3,19.8016811899597,72.477,0,9.0,528.648050964799,4.409532,73.0999984741,60.3,34.7
151,Peru,3180.43061177,6.53,1.4356332,35.1,1146277000.0,59.7999992370606,0.4,34.3006039895446,73.99,.288892973132403,9.5,239.38945704528,1.65890777111,68.3000030518,71.4,35.5
152,Philippines,1383.40186888,6.08,.3880673,46.6,2008116000.0,46.7999992370606,0.06,24.9999458508916,68.749,.140466308255265,9.0,179.615180612242,1.92248511314,61.0,64.92,46.66
153,Poland,6575.74504387,14.43,.8101865,50.3,23053598333.3,42.0999984741211,0.1,62.4712301278022,76.126,.68710279319042,10.0,704.399751630464,13.63706,48.7000007629,61.32,50.4
154,Portugal,11744.8341672,13.89,1.616886,55.5,1865922666.67,50.5999984741211,0.6,51.2804783981952,79.499,1.18026462656989,10.0,1259.39245718096,8.18837547302,57.5999984741,59.46,56.1
155,Puerto Rico,15822.1121406,0.0,0,50.4,0.0,34.5999984741211,0.0,42.6923347662142,79.158,0,5.0,0,0.0,42.4000015259,98.32,50.4
